psu_number,dist_name,hh_number,s03_code,q03_03
4008.0,Dhankuta,2.0,112.0,0.0
4008.0,Dhankuta,5.0,112.0,0.0
4008.0,Dhankuta,10.0,112.0,0.0
4008.0,Dhankuta,4.0,112.0,0.0
4008.0,Dhankuta,1.0,112.0,0.0
4008.0,Dhankuta,7.0,112.0,0.0
4008.0,Dhankuta,9.0,112.0,0.0
4008.0,Dhankuta,8.0,112.0,0.0
4008.0,Dhankuta,11.0,112.0,0.0
4008.0,Dhankuta,12.0,112.0,0.0
4009.0,Dhankuta,5.0,112.0,2.0
4009.0,Dhankuta,11.0,112.0,8.0
4009.0,Dhankuta,8.0,112.0,4.0
4009.0,Dhankuta,2.0,112.0,3.0
4009.0,Dhankuta,3.0,112.0,20.0
4009.0,Dhankuta,9.0,112.0,3.0
4009.0,Dhankuta,6.0,112.0,3.0
4009.0,Dhankuta,4.0,112.0,2.0
4009.0,Dhankuta,1.0,112.0,3.0
4009.0,Dhankuta,7.0,112.0,20.0
4009.0,Dhankuta,10.0,112.0,3.0
4009.0,Dhankuta,12.0,112.0,2.0
4010.0,Panchthar,6.0,112.0,0.0
4010.0,Panchthar,12.0,112.0,0.0
4010.0,Panchthar,4.0,112.0,0.0
4010.0,Panchthar,9.0,112.0,0.0
4010.0,Panchthar,11.0,112.0,0.0
4010.0,Panchthar,8.0,112.0,0.0
4010.0,Panchthar,5.0,112.0,0.0
4010.0,Panchthar,1.0,112.0,0.0
4010.0,Panchthar,7.0,112.0,0.0
4010.0,Panchthar,2.0,112.0,0.0
4010.0,Panchthar,3.0,112.0,0.0
4010.0,Panchthar,10.0,112.0,0.0
4011.0,Illam,9.0,112.0,0.0
4011.0,Illam,10.0,112.0,0.0
4011.0,Illam,5.0,112.0,0.0
4011.0,Illam,1.0,112.0,0.0
4011.0,Illam,11.0,112.0,0.0
4011.0,Illam,4.0,112.0,0.0
4011.0,Illam,7.0,112.0,0.0
4011.0,Illam,12.0,112.0,0.0
4011.0,Illam,8.0,112.0,0.0
4011.0,Illam,3.0,112.0,0.0
4011.0,Illam,6.0,112.0,0.0
4011.0,Illam,2.0,112.0,0.0
